2018-03-24 20:30:27.3906|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/Test/GetUser|action: GetUser
2018-03-24 22:38:11.2081|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:38:36.6697|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:39:24.7237|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:40:10.5453|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:43:13.9405|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:45:17.1133|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:47:02.4663|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:47:45.5643|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:51:37.5773|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/api/test/getuser|action: 
2018-03-24 22:52:25.6040|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:28.0029|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:52:28.8243|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:29.0830|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:52:31.3138|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:32.1220|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:52:32.8890|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:33.1335|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:33.3374|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:52:33.5865|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:33.7043|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:52:33.8515|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:52:49.9498|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:50.0537|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:52:58.8252|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:52:58.8844|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 22:53:01.3567|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'http://localhost:5000/resources, client_name'. Did not match: validationParameters.ValidAudience: 'api_name' or validationParameters.ValidAudiences: 'null'. |url: http://localhost/api/test/getuser|action: 
2018-03-24 22:53:01.4434|12|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  AuthenticationScheme: Bearer was challenged. |url: http://localhost/api/test/getuser|action: GetUser
2018-03-24 23:03:25.5271|7|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|INFO|  Bearer was not authenticated. Failure message: IDX10223: Lifetime validation failed. The token is expired.
ValidTo: '03/24/2018 14:51:51'
Current time: '03/24/2018 15:03:25'. |url: http://localhost/api/api/test/getuser|action: 
